LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-119.0488871,46.1689998,215404,E BOWLES,,Kennewick,,,99337,,5af1f089bccee51d
-119.0344577,46.1717489,25206,S FINLEY,,Kennewick,,,99337,,b66682596d52377a
-119.0517638,46.170008,214309,E SR 397,,Kennewick,,,99337,,316eaeea4dc3b137
-119.0416535,46.1731133,24403,S 2184,,Kennewick,,,99337,,538a5800329f615d
-119.0423007,46.1734259,24305,S RUFF,,Kennewick,,,99337,,2bbb520735ffebde
-119.0295687,46.1688971,224306,E BOWLES,,Kennewick,,,99337,,3b72f66ced442ca8
-119.0319082,46.173702,223305,E 223,,Kennewick,,,99337,,b137340f7132a433
-119.0303323,46.1735754,223703,E 223,,Kennewick,,,99337,,7bbaf3cd34f3303c
-119.029198,46.1741633,24727,S FINLEY,,Kennewick,,,99337,,2aa91d4227f13dca
-119.0295583,46.175402,224305,E PERKINS,,Kennewick,,,99337,,f3d31f0fe223a0f0
-119.0300161,46.1805421,19515,S FINLEY,,Kennewick,,,99337,,8a747f0cf3bfcf81
-119.0308695,46.1753915,223605,E PERKINS,,Kennewick,,,99337,,977d0ab0ae71643e
-119.0299905,46.1753886,224005,E PERKINS,,Kennewick,,,99337,,ba5f5977669a847a
-119.0302296,46.1800286,19519,S FINLEY,,Kennewick,,,99337,,29f5762068a068be
-119.0312726,46.1799988,19503,S FINLEY,,Kennewick,,,99337,,59e256f1c805613f
-119.0306623,46.1741727,223704,E 223,,Kennewick,,,99337,,6e20e9f6dab8f4cc
-119.0311903,46.1741941,223402,E 223,,Kennewick,,,99337,,680b7d8b7288585a
-119.0319375,46.1745291,223002,E 223,,Kennewick,,,99337,,78a8c0d9f9ace4eb
-119.033226,46.1813376,18507,S FINLEY,,Kennewick,,,99337,,15ec9ddd6a58be8f
-119.0465264,46.1865445,15203,S LOCUST,,Kennewick,,,99337,,367a44578fd1f9e4
-119.0485056,46.1858272,215017,E 22ND,,Kennewick,,,99337,,69db2b0dcd772d5e
-119.0495393,46.1868807,214705,E 22ND,,Kennewick,,,99337,,b2470d1b3f217d1d
-119.047569,46.1854735,216005,E LOCUST,,Kennewick,,,99337,,8f2ad60c73195f33
-119.0461667,46.1865534,14907,S LOCUST,,Kennewick,,,99337,,cdb70871b706f0f7
-119.04718,46.1859062,215905,E LOCUST,,Kennewick,,,99337,,5a78234856c975ba
-119.0540576,46.1876368,212405,E 22ND,,Kennewick,,,99337,,878490df2b2eb4f8
-119.0542672,46.1853976,16203,S HANEY,,Kennewick,,,99337,,633806812017393d
-119.0537807,46.1867203,14911,S HANEY,,Kennewick,,,99337,,a9435316a156cc00
-119.053814,46.1864037,14915,S HANEY,,Kennewick,,,99337,,105360df1a907cdd
-119.0542435,46.187228,14605,S HANEY,,Kennewick,,,99337,,4b15e15c4dc15da9
-119.0542043,46.1858638,15705,S HANEY,,Kennewick,,,99337,,652baaa4e010eb16
-119.0446492,46.1834194,217004,E BRYSON BROWN,,Kennewick,,,99337,,ff4974a103aac980
-119.0500482,46.1835337,214506,E BRYSON BROWN,,Kennewick,,,99337,,8a101acff0ab7c67
-119.0480203,46.183563,215504,E BRYSON BROWN,,Kennewick,,,99337,,078d8e518bed6609
-119.0343793,46.1833034,222004,E BRYSON BROWN,,Kennewick,,,99337,,4fd1a13dfd5b33ec
-119.036097,46.183458,221108,E BRYSON BROWN,,Kennewick,,,99337,,c6c9d892f4e3201f
-119.0386311,46.1836499,17204,S SHORT,,Kennewick,,,99337,,2750b76159b6daf8
-119.0385971,46.1834714,17304,S SHORT,,Kennewick,,,99337,,0cca9dbe07d3804c
-119.0386316,46.184392,16704,S SHORT,,Kennewick,,,99337,,58f0254d2425b1bd
-119.0386418,46.1838819,17004,S SHORT,,Kennewick,,,99337,,578f003caf385291
-119.0385589,46.1841745,16904,S SHORT,,Kennewick,,,99337,,87a1c490c7c745ec
-119.0541618,46.1840047,212606,E BRYSON BROWN,,Kennewick,,,99337,,fcffefae663dd82b
-119.0540349,46.1842984,16905,S HANEY,,Kennewick,,,99337,,bfca2106ef674508
-119.0532403,46.1842968,212812,E BRYSON BROWN,,Kennewick,,,99337,,dbb4a2ac3dbf43d1
-119.0532504,46.1848446,212818,E BRYSON BROWN,,Kennewick,,,99337,,97cb49b2a9380466
-119.0528729,46.1837574,212806,E BRYSON BROWN,,Kennewick,,,99337,,7f19d9100e6d8b59
-119.0603417,46.1853626,16207,S 2093,,Kennewick,,,99337,,605597bb37df6d51
-119.0558232,46.1882628,14010,S HANEY,,Kennewick,,,99337,,face6de382ffaf01
-119.0655768,46.1929827,206715,E FINLEY,,Kennewick,,,99337,,788d7b2bf6757c83
-119.0651785,46.1955801,206907,E 13TH,,Kennewick,,,99337,,446240e55a7fa48a
-119.0686678,46.1910631,205502,E SCHUSTER,,Kennewick,,,99337,,1413488a185f08cf
-119.0673212,46.1955915,205901,E 13TH,,Kennewick,,,99337,,813130433bef363b
-119.0640116,46.1947694,207408,E FINLEY,,Kennewick,,,99337,,a1e83f5fe1f0052c
-119.0715303,46.1950538,9703,S KEYSTONE,,Kennewick,,,99337,,b824f037b5ce6cbd
-119.0653066,46.1950986,9504,S PULLMAN,,Kennewick,,,99337,,73b2d47ac87ad04f
-119.0656006,46.1946378,206904,E FINLEY,,Kennewick,,,99337,,c6ea7ba92e386145
-119.0655455,46.1905195,206705,E SCHUSTER,,Kennewick,,,99337,,ee6fccf0776353a7
-119.0651798,46.1904527,207007,E SCHUSTER,,Kennewick,,,99337,,c37aa76eaf52e00d
-119.0651642,46.1946858,206908,E FINLEY,,Kennewick,,,99337,,2efb506e61629f7c
-119.0655784,46.1956019,206801,E 13TH,,Kennewick,,,99337,,e0bdc18fef656b18
-119.0652423,46.1960157,207006,E 13TH,,Kennewick,,,99337,,6a1243aa8288fd03
-119.065542,46.1960116,206702,E 13TH,,Kennewick,,,99337,,6e9cbcaf25f6c232
-119.0714511,46.1960706,204106,E 14TH,,Kennewick,,,99337,,aa68ef1e0ec8901a
-119.0711008,46.1961132,204304,E 14TH,,Kennewick,,,99337,,158ebaf75c21d895
-119.0703927,46.1961359,204406,E 14TH,,Kennewick,,,99337,,bc305d48ddf36824
-119.0679485,46.1958397,205904,E 13TH,,Kennewick,,,99337,,246ebae6718ec9d1
-119.0673788,46.1960714,206002,E 13TH,,Kennewick,,,99337,,78f80ff2fafbcdc1
-119.0669426,46.1960273,206102,E 13TH,,Kennewick,,,99337,,8179247b9816973d
-119.0666175,46.1960212,206302,E 13TH,,Kennewick,,,99337,,692d13d985236cce
-119.0658755,46.1960257,206602,E 13TH,,Kennewick,,,99337,,c306949db110b16c
-119.0662546,46.1960404,206502,E 13TH,,Kennewick,,,99337,,4bb10d39320e4c27
-119.0715773,46.1953881,9509,S KEYSTONE,,Kennewick,,,99337,,03f702daf5659ac7
-119.0710824,46.1953814,9406,S LEXINGTON,,Kennewick,,,99337,,fdebab9a1d3138c6
-119.070438,46.1955703,9407,S LEXINGTON,,Kennewick,,,99337,,127d3cf15b188c9f
-119.0705067,46.1957472,204405,E 14TH,,Kennewick,,,99337,,a1e61faf82c32aaa
-119.0705519,46.1946857,9905,S LEXINGTON,,Kennewick,,,99337,,4918b6cf7e7688eb
-119.071211,46.1940917,204005,E FINLEY,,Kennewick,,,99337,,b41b7e38adb8acd3
-119.0685479,46.190528,205005,E SCHUSTER,,Kennewick,,,99337,,5ffa4be041fc7889
-119.0672036,46.1904634,206003,E SCHUSTER,,Kennewick,,,99337,,4535767e3dfa1d63
-119.0659913,46.194654,206706,E FINLEY,,Kennewick,,,99337,,8f38ffd0e5ec93b6
-119.0663137,46.1946561,206504,E FINLEY,,Kennewick,,,99337,,84c4bb2114db235e
-119.0666586,46.1946714,206304,E FINLEY,,Kennewick,,,99337,,d7bab3b31ca26ca5
-119.0672853,46.1946639,206104,E FINLEY,,Kennewick,,,99337,,e71c4a27dae48c3f
-119.0678056,46.1946708,205804,E FINLEY,,Kennewick,,,99337,,52d411ad66f48e96
-119.0683792,46.1946922,205504,E FINLEY,,Kennewick,,,99337,,0e612de6812afcba
-119.0689695,46.1949424,205304,E FINLEY,,Kennewick,,,99337,,b252897572239d9f
-119.0679713,46.1940135,205505,E FINLEY,,Kennewick,,,99337,,93a3584a5ba77407
-119.0705555,46.1937467,204607,E FINLEY,,Kennewick,,,99337,,76e448e920a821c7
-119.0717412,46.1940796,203705,E FINLEY,,Kennewick,,,99337,,d9cb6e9f87e594e1
-119.0660513,46.1904863,206605,E SCHUSTER,,Kennewick,,,99337,,4738cf240e1f0680
-119.0663519,46.1904248,206207,E SCHUSTER,,Kennewick,,,99337,,4fb870a7a51e430e
-119.0680692,46.1904037,205607,E SCHUSTER,,Kennewick,,,99337,,b7e6e847a9baf881
-119.0673564,46.1910122,205904,E SCHUSTER,,Kennewick,,,99337,,b5fadb564a87997e
-119.0710661,46.1946933,9706,S LEXINGTON,,Kennewick,,,99337,,fec0ca48a376d8c8
-119.0714219,46.1909561,204404,E SCHUSTER,,Kennewick,,,99337,,b0ec26d25d328f15
