LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
22.9505463,40.5912142,16,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,f654e9eb2f155cfa
22.9504686,40.5911576,18,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,860b16843c503edc
22.9503979,40.5911047,20,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,689f30bd5a6e499c
22.9513959,40.5916667,1,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,3e85739e663f6e5d
22.9503642,40.5909219,23,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,6c1d37fb4b3ec6d1
22.9504961,40.5910204,21,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,fd39b6a4e7bd61ef
22.9505786,40.5910734,19,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,67b06168b2cf8ca7
22.950654,40.59113,17,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,192c6ba6510f8861
22.9507176,40.5911774,15,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,6f57a6eff609cf58
22.9508024,40.5912359,13,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,1b8895a032e18b62
22.9508801,40.5912943,11,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,589fae5457bb1f28
22.9509814,40.5913637,9,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,653af0e6ce297681
22.9511087,40.5914531,7,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,aa8356a414eae241
22.9511934,40.5915152,5,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,074578f51ecc4b19
22.9512806,40.5915791,3,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,af6bef914e8f31e4
22.9473862,40.5907997,73,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,dc3d598da3de70ae
22.9472105,40.5906697,75,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,ceca54d70ffe68b7
22.9470844,40.5908893,78,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,f8790ee1bebd36ce
22.9525097,40.5908243,30,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,9143cc99a54fca05
22.9522129,40.5909147,14,ΔΩΔΕΚΑΝΗΣΟΥ,,,,,,,790d65f3ceb6bbc2
22.9524002,40.5907926,17,ΔΩΔΕΚΑΝΗΣΟΥ,,,,,,,8d0e7d90b0197742
22.9522037,40.5906488,21,ΔΩΔΕΚΑΝΗΣΟΥ,,,,,,,b5b05b9435238559
