LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
14.3838363,40.949956,232,CORSO VITTORIO EMANUELE II,,,,,,,cc3b88deb3021163
14.383778,40.9501259,241,CORSO VITTORIO EMANUELE II,,,,,,,3bc48bb8b33d71e3
14.3838787,40.9501763,243,CORSO VITTORIO EMANUELE II,,,,,,,5b3683021d4dfc78
14.3840008,40.9502301,245,CORSO VITTORIO EMANUELE II,,,,,,,7f865fecaff67273
14.384039,40.9502534,247,CORSO VITTORIO EMANUELE II,,,,,,,50b563ab3c81460f
14.3823183,40.9492098,202,CORSO VITTORIO EMANUELE II,,,,,,,103914f06407ba55
14.3822332,40.9491712,200,CORSO VITTORIO EMANUELE II,,,,,,,2993e031ed375e66
14.3823982,40.9492473,204,CORSO VITTORIO EMANUELE II,,,,,,,099cc41e67c82388
14.3825395,40.9493111,206,CORSO VITTORIO EMANUELE II,,,,,,,675dae234e22f274
14.3826192,40.9493714,208,CORSO VITTORIO EMANUELE II,,,,,,,2a9e8c74b46215fe
14.3827712,40.9494238,210,CORSO VITTORIO EMANUELE II,,,,,,,ac0a799973171282
14.3828496,40.9494737,212,CORSO VITTORIO EMANUELE II,,,,,,,11213768d752d0a0
14.3829285,40.9494866,214,CORSO VITTORIO EMANUELE II,,,,,,,e76dcf197ad29ef7
14.3830531,40.9495697,216,CORSO VITTORIO EMANUELE II,,,,,,,07301285b6b1271e
14.3830841,40.9495829,218,CORSO VITTORIO EMANUELE II,,,,,,,b79751b2abd5abe4
14.3832024,40.9496362,220,CORSO VITTORIO EMANUELE II,,,,,,,75ccad7bb9143082
14.3833204,40.9496764,222,CORSO VITTORIO EMANUELE II,,,,,,,6dc6ea7b85485759
14.3833912,40.9497102,224,CORSO VITTORIO EMANUELE II,,,,,,,9f365fc627214e17
14.3835181,40.9497672,226,CORSO VITTORIO EMANUELE II,,,,,,,4ffce38fd180a7ca
14.3836212,40.9498057,228,CORSO VITTORIO EMANUELE II,,,,,,,8e87f0077f0eed1d
14.3837223,40.9498578,230,CORSO VITTORIO EMANUELE II,,,,,,,985211e31d650ea1
14.3819719,40.9492669,205,CORSO VITTORIO EMANUELE II,,,,,,,7b6e6dd1915ab936
14.3820868,40.9493195,207,CORSO VITTORIO EMANUELE II,,,,,,,1ef31d8b1ba3584b
14.3823716,40.9494555,209,CORSO VITTORIO EMANUELE II,,,,,,,b04a49441d982867
14.3824803,40.9495002,213,CORSO VITTORIO EMANUELE II,,,,,,,356e0083cdd2d58f
14.3824296,40.9494777,211,CORSO VITTORIO EMANUELE II,,,,,,,31c637784d2cb0db
14.3825566,40.9495375,215,CORSO VITTORIO EMANUELE II,,,,,,,baee6cd1cff1bb9c
14.3827942,40.9496551,217,CORSO VITTORIO EMANUELE II,,,,,,,07138ace5143f0c0
14.382865,40.9496899,219,CORSO VITTORIO EMANUELE II,,,,,,,55c9c3205b9dbfe7
14.3829388,40.9497343,221,CORSO VITTORIO EMANUELE II,,,,,,,f7bbf6fcd2313db9
14.383022,40.949727,223,CORSO VITTORIO EMANUELE II,,,,,,,98b13a779687c57f
14.3830706,40.9497892,225,CORSO VITTORIO EMANUELE II,,,,,,,e21d0123e72f9a1c
14.3831095,40.9498059,227,CORSO VITTORIO EMANUELE II,,,,,,,df61d6ef8ed50da8
14.383165,40.9498275,229,CORSO VITTORIO EMANUELE II,,,,,,,cb12e6c1b55888ea
14.3832341,40.9498527,231,CORSO VITTORIO EMANUELE II,,,,,,,135c3291c513b484
14.3832916,40.9498803,233,CORSO VITTORIO EMANUELE II,,,,,,,ba5e5fccdaf76901
14.3833571,40.9499109,235,CORSO VITTORIO EMANUELE II,,,,,,,783be71eaa138e11
14.3834132,40.9499378,235/A,CORSO VITTORIO EMANUELE II,,,,,,,49eae58d4e1a4d4f
14.3834594,40.9499588,237,CORSO VITTORIO EMANUELE II,,,,,,,611ababcc6072208
14.3835014,40.9499779,239,CORSO VITTORIO EMANUELE II,,,,,,,08f698c6838b5f6f
14.381005,40.9488141,171,CORSO VITTORIO EMANUELE II,,,,,,,5510d1ded0ff74ff
14.3810521,40.948835,173,CORSO VITTORIO EMANUELE II,,,,,,,4177f8cd03d4591d
14.3811122,40.948864,175,CORSO VITTORIO EMANUELE II,,,,,,,ff6775dcd3f08bdb
14.3813265,40.9489641,177,CORSO VITTORIO EMANUELE II,,,,,,,93f5cef1d4d6e2db
14.3814165,40.948998,187,CORSO VITTORIO EMANUELE II,,,,,,,7cc4015fb452df79
14.3815894,40.9490892,193,CORSO VITTORIO EMANUELE II,,,,,,,0cab754151448cda
14.3815372,40.9490647,191,CORSO VITTORIO EMANUELE II,,,,,,,eae88a883d14e842
14.3814732,40.9490255,189,CORSO VITTORIO EMANUELE II,,,,,,,7c270588ae3b23e6
14.3813116,40.9490962,183,CORSO VITTORIO EMANUELE II,,,,,,,eece964681fa7e9d
14.3812445,40.9491625,181,CORSO VITTORIO EMANUELE II,,,,,,,a7824cfd0cc32003
14.3811907,40.9492066,179,CORSO VITTORIO EMANUELE II,,,,,,,5adb7073352aaa5d
14.381163,40.9487104,190,CORSO VITTORIO EMANUELE II,,,,,,,fc0587b6ef6c2d37
14.3812761,40.9487615,192,CORSO VITTORIO EMANUELE II,,,,,,,51e3803c90bd708f
14.3814329,40.9488334,194,CORSO VITTORIO EMANUELE II,,,,,,,0b4fac4aac27b3c0
14.3816672,40.9491247,195,CORSO VITTORIO EMANUELE II,,,,,,,3c9fc31b06aaa472
14.3817266,40.9491522,197,CORSO VITTORIO EMANUELE II,,,,,,,5f88d2e084f2771d
14.3817701,40.9491716,199,CORSO VITTORIO EMANUELE II,,,,,,,9b5cd50c73e08386
14.3818096,40.9491898,201,CORSO VITTORIO EMANUELE II,,,,,,,428dad56c11c0c04
14.3818701,40.9492194,203,CORSO VITTORIO EMANUELE II,,,,,,,b007d10c3723313d
14.3786253,40.9477341,105/B,CORSO VITTORIO EMANUELE II,,,,,,,4073c024857920f9
14.3786448,40.9477181,105/C,CORSO VITTORIO EMANUELE II,,,,,,,5a5b5af0a25cfb81
14.3786613,40.9477013,105/D,CORSO VITTORIO EMANUELE II,,,,,,,d1a6f2bcaa90b7d8
14.378863,40.9478071,105/G,CORSO VITTORIO EMANUELE II,,,,,,,36bcd64ab61e5c71
